engine_id,cycle,RUL,iso_forest_score,risk_score,risk_level,action,confidence
1,1,191,-0.0430661784682919,6.494297201983028,NOMINAL,Continue normal operations,100.0
1,2,190,-0.052743715772668,5.410256617148543,NOMINAL,Continue normal operations,100.0
1,3,189,-0.0172710180458908,9.38377206637383,NOMINAL,Continue normal operations,100.0
1,4,188,-0.0354650816560767,7.345742892610467,NOMINAL,Continue normal operations,100.0
1,5,187,-0.0774862934325205,2.638688033830295,NOMINAL,Continue normal operations,100.0
1,6,186,-0.0187088984530164,9.222706221992363,NOMINAL,Continue normal operations,100.0
1,7,185,-0.0680882141747514,3.6914248008904407,NOMINAL,Continue normal operations,100.0
1,8,184,-0.0147090069994892,9.670758710366172,NOMINAL,Continue normal operations,100.0
1,9,183,-0.0439112839209212,6.399631732835127,NOMINAL,Continue normal operations,100.0
1,10,182,0.0210270641650268,13.673776241215792,NOMINAL,Continue normal operations,100.0
1,11,181,-0.0413951773797159,6.681476330344525,NOMINAL,Continue normal operations,100.0
1,12,180,-0.0510891664319176,5.595592883863168,NOMINAL,Continue normal operations,100.0
1,13,179,-0.037166263636729,7.15518301655788,NOMINAL,Continue normal operations,100.0
1,14,178,-0.0406173757145535,6.7686026875435426,NOMINAL,Continue normal operations,100.0
1,15,177,-0.0527740846072971,5.406854816854042,NOMINAL,Continue normal operations,100.0
1,16,176,-0.0408765686258956,6.7395688924406105,NOMINAL,Continue normal operations,100.0
1,17,175,-0.0717220798525294,3.2843731150481013,NOMINAL,Continue normal operations,100.0
1,18,174,-0.0498008598787887,5.739904039209315,NOMINAL,Continue normal operations,100.0
1,19,173,-0.0239711353549551,8.633250641579801,NOMINAL,Continue normal operations,100.0
1,20,172,0.0069641028287941,12.098497288321353,NOMINAL,Continue normal operations,100.0
1,21,171,-0.0485542169624754,5.879548193871362,NOMINAL,Continue normal operations,100.0
1,22,170,-0.0737218621387255,3.0603651788462556,NOMINAL,Continue normal operations,100.0
1,23,169,-0.0049485438574084,10.764088329257147,NOMINAL,Continue normal operations,100.0
1,24,168,-0.0553278905157422,5.1207872809229,NOMINAL,Continue normal operations,100.0
1,25,167,-0.0444261675487016,6.341956445060378,NOMINAL,Continue normal operations,100.0
1,26,166,-0.02678570984447,8.317972810070511,NOMINAL,Continue normal operations,100.0
1,27,165,-0.0559034522570732,5.056315063760928,NOMINAL,Continue normal operations,100.0
1,28,164,0.0111559518483828,12.56805212648023,NOMINAL,Continue normal operations,100.0
